time,alpha_a_fr,alpha_b_fr,alpha_c_fr,alpha_a_fl,alpha_b_fl,alpha_c_fl
1741027510.8764014,-0.5009931325912476,-0.09964989870786667,-0.09964989870786667,0.2675621807575226,-0.1337810903787613,-0.1337810903787613
1741027510.886049,-0.5154448747634888,-0.0658482015132904,-0.0658482015132904,0.2997311055660248,-0.1498655527830124,-0.1498655527830124
1741027510.8954182,-0.5277135968208313,-0.034067001193761826,-0.034067001193761826,0.3290977478027344,-0.1645488739013672,-0.1645488739013672
1741027510.9074526,-0.5384087562561035,-0.002428364707157016,-0.002428364707157016,0.35732027888298035,-0.17866013944149017,-0.17866013944149017
1741027510.9155157,-0.5475653409957886,0.03030182234942913,0.03030182234942913,0.385244756937027,-0.1926223784685135,-0.1926223784685135
1741027510.9247775,-0.5536155700683594,0.05860719084739685,0.05860719084739685,0.40814849734306335,-0.20407424867153168,-0.20407424867153168
1741027510.9340422,-0.5574566125869751,0.08556719869375229,0.08556719869375229,0.4286825358867645,-0.21434126794338226,-0.21434126794338226
1741027510.9432616,-0.5590496063232422,0.11148402839899063,0.11148402839899063,0.4470224380493164,-0.2235112190246582,-0.2235112190246582
1741027510.9527574,-0.5582771897315979,0.13627739250659943,0.13627739250659943,0.4630364179611206,-0.2315182089805603,-0.2315182089805603
1741027510.9640903,-0.5539358854293823,0.16514649987220764,0.16514649987220764,0.4793882668018341,-0.23969413340091705,-0.23969413340091705
1741027510.9742162,-0.5468780398368835,0.18907439708709717,0.18907439708709717,0.4906349778175354,-0.2453174889087677,-0.2453174889087677
1741027510.9834616,-0.5375815033912659,0.2098560929298401,0.2098560929298401,0.4982917308807373,-0.24914586544036865,-0.24914586544036865
1741027510.9926307,-0.5258655548095703,0.22889862954616547,0.22889862954616547,0.5031760931015015,-0.25158804655075073,-0.25158804655075073
1741027511.0018148,-0.5115222930908203,0.24665330350399017,0.24665330350399017,0.505450427532196,-0.252725213766098,-0.252725213766098
1741027511.0118527,-0.5049395561218262,0.2524697780609131,0.2524697780609131,0.49293312430381775,-0.2644762694835663,-0.2644762694835663
1741027511.0213258,-0.5015537738800049,0.25077688694000244,0.25077688694000244,0.4722931385040283,-0.2800374925136566,-0.2800374925136566
1741027511.0305867,-0.4955995976924896,0.2477997988462448,0.2477997988462448,0.4496409296989441,-0.29375845193862915,-0.29375845193862915
1741027511.0400023,-0.48684531450271606,0.24342265725135803,0.24342265725135803,0.4238535463809967,-0.3064144253730774,-0.3064144253730774
1741027511.0496426,-0.47529783844947815,0.23764891922473907,0.23764891922473907,0.39509445428848267,-0.31785231828689575,-0.31785231828689575
1741027511.0602875,-0.45957908034324646,0.22978954017162323,0.22978954017162323,0.3604896664619446,-0.3288789689540863,-0.3288789689540863
1741027511.0732985,-0.4352422058582306,0.2176211029291153,0.2176211029291153,0.3122202455997467,-0.340643048286438,-0.340643048286438
1741027511.0845838,-0.4107213616371155,0.20536068081855774,0.20536068081855774,0.2672523558139801,-0.3488296866416931,-0.3488296866416931
1741027511.0955565,-0.3837926387786865,0.19189631938934326,0.19189631938934326,0.22045309841632843,-0.35523584485054016,-0.35523584485054016
1741027511.106186,-0.35510146617889404,0.17755073308944702,0.17755073308944702,0.17258840799331665,-0.3600638210773468,-0.3600638210773468
1741027511.1175795,-0.3216426372528076,0.1608213186264038,0.1608213186264038,0.11858856678009033,-0.3638753592967987,-0.3638753592967987
1741027511.1296847,-0.28316929936408997,0.14158464968204498,0.14158464968204498,0.058218784630298615,-0.36653515696525574,-0.36653515696525574
1741027511.1410425,-0.24485541880130768,0.12242770940065384,0.12242770940065384,-0.0005798451020382345,-0.3678629696369171,-0.3678629696369171
1741027511.1528094,-0.20303796231746674,0.10151898115873337,0.10151898115873337,-0.06366338580846786,-0.36822032928466797,-0.36822032928466797
1741027511.1667266,-0.1515675187110901,0.07578375935554504,0.07578375935554504,-0.1401948183774948,-0.36754608154296875,-0.36754608154296875
1741027511.1806684,-0.09732285141944885,0.048661425709724426,0.048661425709724426,-0.21995685994625092,-0.3659411370754242,-0.3659411370754242
1741027511.1917892,-0.05335183069109917,0.026675915345549583,0.026675915345549583,-0.284197062253952,-0.3642248213291168,-0.3642248213291168
1741027511.2019324,-0.012930371798574924,0.006465185899287462,0.006465185899287462,-0.34308183193206787,-0.3624773919582367,-0.3624773919582367
1741027511.2145214,0.02616126649081707,-0.013080633245408535,-0.013080633245408535,-0.37613993883132935,-0.3368980586528778,-0.3368980586528778
1741027511.2218847,0.06593332439661026,-0.03296666219830513,-0.03296666219830513,-0.39770883321762085,-0.29880884289741516,-0.29880884289741516
1741027511.2319832,0.10550367087125778,-0.05275183543562889,-0.05275183543562889,-0.4189783036708832,-0.2607227861881256,-0.2607227861881256
1741027511.2416284,0.14192253351211548,-0.07096126675605774,-0.07096126675605774,-0.4382775127887726,-0.22539369761943817,-0.22539369761943817
1741027511.2507834,0.17710012197494507,-0.08855006098747253,-0.08855006098747253,-0.4565582871437073,-0.19090811908245087,-0.19090811908245087
1741027511.2599146,0.21064358949661255,-0.10532179474830627,-0.10532179474830627,-0.47354692220687866,-0.15758153796195984,-0.15758153796195984
1741027511.2698622,0.24576856195926666,-0.12288428097963333,-0.12288428097963333,-0.490727961063385,-0.12207513302564621,-0.12207513302564621
1741027511.2794766,0.2786123752593994,-0.1393061876296997,-0.1393061876296997,-0.5060601234436035,-0.08814157545566559,-0.08814157545566559
1741027511.2887633,0.3086584210395813,-0.15432921051979065,-0.15432921051979065,-0.5192793011665344,-0.05629168450832367,-0.05629168450832367
1741027511.2979434,0.3367004096508026,-0.1683502048254013,-0.1683502048254013,-0.5307134389877319,-0.025662800297141075,-0.025662800297141075
1741027511.3072073,0.3632408082485199,-0.18162040412425995,-0.18162040412425995,-0.5404841303825378,0.0043771290220320225,0.0043771290220320225
1741027511.317453,0.3901485502719879,-0.19507427513599396,-0.19507427513599396,-0.5489880442619324,0.03623479604721069,0.03623479604721069
1741027511.3288226,0.4168662428855896,-0.2084331214427948,-0.2084331214427948,-0.5554623007774353,0.0698370561003685,0.0698370561003685
1741027511.3379095,0.43670615553855896,-0.21835307776927948,-0.21835307776927948,-0.5584110617637634,0.09664817899465561,0.09664817899465561
1741027511.347177,0.4540829658508301,-0.22704148292541504,-0.22704148292541504,-0.5590178370475769,0.12210658937692642,0.12210658937692642
1741027511.3563483,0.46892431378364563,-0.23446215689182281,-0.23446215689182281,-0.5572486519813538,0.14613781869411469,0.14613781869411469
1741027511.3660522,0.48156121373176575,-0.24078060686588287,-0.24078060686588287,-0.552929162979126,0.16941265761852264,0.16941265761852264
1741027511.3788152,0.4947488605976105,-0.24737443029880524,-0.24737443029880524,-0.5426244139671326,0.19949889183044434,0.19949889183044434
1741027511.3895519,0.5017539858818054,-0.2508769929409027,-0.2508769929409027,-0.5302852392196655,0.22234567999839783,0.22234567999839783
1741027511.399395,0.5051068663597107,-0.25255343317985535,-0.25255343317985535,-0.5155478119850159,0.24211250245571136,0.24211250245571136
1741027511.4089003,0.4986543655395508,-0.2594587206840515,-0.2594587206840515,-0.5054087042808533,0.25270435214042664,0.25270435214042664
1741027511.4194553,0.47666049003601074,-0.27702853083610535,-0.27702853083610535,-0.5024593472480774,0.2512296736240387,0.2512296736240387
